frame_index,frame_path,sku_index,name,price_full,price_discounted,taxonomy,other_text
37,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000037.jpg,1,Sho Chiku Bai Classic Junmai Sake 1.5L Bottle,,,Beverages > Alcohol > Sake,"Label: 'Sho Chiku Bai', 'Classic', 'Junmai'; green bottle; pink 'Manager's Special' tag nearby"
37,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000037.jpg,2,Haiku Sake 720ml Bottle,,,Beverages > Alcohol > Sake,Label shows 'HAIKU'; tall green bottle on right section; shelf tag to right side
37,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000037.jpg,3,Tozai Sake Blue Bottle 300ml,,,Beverages > Alcohol > Sake,Brand text 'Tozai' visible; blue bottle with koi fish artwork on label; small-format bottle
37,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000037.jpg,4,Pure Sake 300ml Bottle,,,Beverages > Alcohol > Sake,Clear bottle; white label with the word 'Pure' printed; grouped on top shelf center
58,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000058.jpg,1,Kizakura Kappa Sake 180ml Carton,,,Beverages > Alcohol > Sake,Green carton with Kappa mascot; top shelf left; near sign 'SAKE: JUNMAI'
58,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000058.jpg,2,Kizakura Pure Yuzu Sake 300ml Bottle,,,Beverages > Alcohol > Sake,Yellow/orange label with 'Pure' text; slim clear bottle
58,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000058.jpg,3,Kizakura Pure Sake 300ml Bottle,,,Beverages > Alcohol > Sake,Clear label with 'Pure' text; slim clear bottle adjacent to Yuzu variant
58,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000058.jpg,4,Tamano Hikari Junmai Ginjo 300ml Bottle,,,Beverages > Alcohol > Sake,White frosted short bottle with blue kanji; multiple units on top shelf
58,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000058.jpg,5,Tozai Sake 300ml Bottle (assorted varieties),,,Beverages > Alcohol > Sake,Blue frosted bottles; shelf tag shows 'Tozai'
58,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first0s_20250907_145417/frames/frame_0000058.jpg,6,Kiku-Masamune Junmai Sake 1.8L Bottle,,,Beverages > Alcohol > Sake,Tall brown bottles; cream label with black kanji '菊正宗'
