frame_index,timestamp_sec,laplacian_var,tenengrad_mean,contrast_std,brightness_mean,selected,saved_path
0,0.000,490.663215,45.972800,59.185539,107.994,0,
1,0.033,496.801815,47.174040,59.110631,108.009,0,
2,0.067,497.301401,47.154959,59.108831,108.508,0,
3,0.100,505.911248,47.250483,59.116500,108.651,1,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000003.jpg
4,0.133,509.373678,47.394469,59.066276,108.708,0,
5,0.167,517.886012,47.570309,58.996421,108.735,0,
6,0.200,522.415592,47.696479,58.937932,108.719,0,
7,0.233,528.147811,47.806291,58.868860,108.687,0,
8,0.267,537.031466,47.914473,58.814369,108.654,0,
9,0.300,536.813874,47.981994,58.733905,108.637,0,
10,0.333,537.851095,47.951500,58.714273,108.626,0,
11,0.367,542.979672,47.987792,58.671978,108.611,0,
12,0.400,544.870745,47.948765,58.692505,108.639,0,
13,0.433,548.189279,48.000520,58.661429,108.619,0,
14,0.467,549.017793,47.980150,58.643008,108.589,0,
15,0.500,549.528630,47.976732,58.575472,108.523,0,
16,0.533,552.022387,47.978397,58.537029,108.465,0,
17,0.567,552.308306,47.949244,58.476197,108.391,0,
18,0.600,553.739737,47.952158,58.416796,108.267,1,/Users/bin.wang/Projects/playground/smb_onboarding/outputs/TNT_Asian_Market_first20s_20250907_111026/frames/frame_0000018.jpg
19,0.633,551.370746,47.907260,58.373856,108.198,0,
20,0.667,536.558131,47.775907,58.318591,108.142,0,
21,0.700,534.042494,47.745915,58.270763,108.075,0,
22,0.733,526.959301,47.683805,58.231006,108.013,0,
23,0.767,524.741145,47.640984,58.180904,107.947,0,
24,0.800,523.707117,47.629570,58.154254,107.914,0,
25,0.833,518.221043,47.543001,58.112429,107.860,0,
26,0.867,517.930988,47.550902,58.079979,107.814,0,
27,0.900,516.022388,47.519653,58.049137,107.782,0,
28,0.933,514.158565,47.494801,58.021879,107.752,0,
29,0.967,532.447471,46.797586,57.956605,107.601,0,
30,1.000,531.135582,46.943620,57.962345,107.606,0,
31,1.033,525.936237,46.965587,57.950265,107.602,0,
32,1.067,509.031352,46.957314,57.939220,107.602,0,
33,1.100,494.827317,46.868899,57.906875,107.605,0,
34,1.133,497.837452,46.944592,57.907062,107.574,0,
35,1.167,496.174315,46.948572,57.894915,107.576,0,
36,1.200,501.137066,47.054380,57.890762,107.546,0,
37,1.233,503.953362,47.105058,57.876661,107.527,0,
38,1.267,498.308804,47.096447,57.859668,107.522,0,
39,1.300,497.474947,47.112978,57.850690,107.506,0,
40,1.333,459.972380,46.822250,57.841795,107.533,0,
41,1.367,351.634470,45.117905,57.784079,107.837,0,
42,1.400,431.356754,46.533811,57.866857,107.466,0,
43,1.433,399.408722,46.364938,57.802855,107.573,0,
44,1.467,435.837488,46.896811,57.791408,107.426,0,
45,1.500,440.401930,46.926381,57.746635,107.432,0,
46,1.533,437.060022,46.770523,57.691581,107.436,0,
47,1.567,453.225730,46.832217,57.658349,107.412,0,
48,1.600,457.337251,46.874513,57.638521,107.389,0,
49,1.633,461.861424,46.846309,57.583750,107.350,0,
50,1.667,456.994322,46.802992,57.538563,107.300,0,
51,1.700,462.562621,46.834028,57.497213,107.232,0,
52,1.733,461.156016,46.833312,57.517859,107.224,0,
53,1.767,467.878478,46.887686,57.531903,107.224,0,
54,1.800,469.248933,46.892707,57.521796,107.195,0,
55,1.833,471.463957,46.880104,57.496215,107.172,0,
56,1.867,462.810998,46.744386,57.516884,107.199,0,
57,1.900,464.046333,46.734927,57.493996,107.216,0,
58,1.933,502.877179,46.231312,57.436618,107.072,0,
59,1.967,481.186306,46.518837,57.409323,107.118,0,
60,2.000,461.203094,46.417518,57.443227,107.142,0,
61,2.035,454.256364,46.405609,57.404034,107.193,0,
62,2.068,431.670845,46.357900,57.383274,107.261,0,
63,2.102,376.191508,45.755499,57.340595,107.401,0,
64,2.135,292.842207,43.546651,57.281373,107.691,0,
65,2.168,401.755676,45.594567,57.309529,107.225,0,
66,2.202,326.708916,44.045129,57.148831,107.548,0,
67,2.235,362.760407,44.659161,57.149028,107.134,0,
68,2.268,391.035720,45.223033,57.188192,107.055,0,
69,2.302,355.322699,44.783283,57.077799,107.285,0,
70,2.335,303.241037,43.187679,56.869078,107.621,0,
71,2.368,301.512055,43.068116,56.708998,107.707,0,
72,2.402,357.333422,44.085059,56.741913,107.576,0,
73,2.435,318.427089,43.203457,56.612147,107.851,0,
74,2.468,282.271547,41.638080,56.378512,108.107,0,
75,2.502,281.658105,41.741083,56.283229,108.137,0,
76,2.535,261.353056,40.712704,56.117685,108.392,0,
77,2.568,249.330755,40.052068,55.890534,108.584,0,
78,2.602,239.110386,39.607862,55.732087,108.719,0,
79,2.635,202.172593,36.148606,55.227282,109.306,0,
80,2.668,192.748357,36.049206,55.079916,109.207,0,
81,2.702,212.635911,37.088599,55.012533,108.985,0,
82,2.735,202.462476,36.529318,54.838786,109.115,0,
83,2.768,173.590615,35.126006,54.378348,109.766,0,
84,2.802,200.526559,36.668063,54.495179,109.619,0,
85,2.835,213.091222,37.122203,54.394249,109.840,0,
